Bulbasaur,1.0,45,49,49,65,65,45
Ivysaur,2.0,60,62,63,80,80,60
Venusaur,3.0,80,82,83,100,100,80
Charmander,4.0,39,52,43,60,50,65
Charmeleon,5.0,58,64,58,80,65,80
Charizard,6.0,78,84,78,109,85,100
Squirtle,7.0,44,48,65,60,54,43
Wartortle,8.0,59,63,80,65,80,58
Blastoise,9.0,79,83,100,85,105,78
Caterpie,10.0,45,30,35,20,20,45
Metapod,11.0,50,20,55,25,25,30
Butterfree,12.0,60,45,50,90,80,70
Weedle,13.0,40,35,30,20,20,50
Kakuna,14.0,45,25,50,25,25,35
Beedrill,15.0,65,90,40,40,80,75
Pidgey,16.0,40,45,40,35,35,56
Pidgeotto,17.0,63,60,55,50,50,71
Pidgeot,18.0,83,80,75,70,70,91
Rattata,19.0,30,56,35,25,35,72
Rattata(Alolan),19.1,30,56,35,25,35,72
Raticate,20.0,55,81,60,50,70,97
Raticate(Alolan),20.1,75,71,70,40,80,77
Spearow,21.0,40,60,30,31,31,70
Fearow,22.0,65,90,65,61,61,100
Ekans,23.0,30,60,44,40,54,55
Arbok,24.0,60,95,69,65,79,80
Pikachu,25.0,35,55,40,50,50,90
Raichu,26.0,60,90,55,90,80,110
Raichu(Alolan),26.1,60,85,50,95,85,110
Sandshrew,27.0,50,75,85,20,30,40
Sandshrew(Alolan),27.1,50,75,90,10,35,40
Sandslash,28.0,75,100,110,45,55,65
Sandslash(Alolan),28.1,75,100,120,25,65,65
Nidoran(Female),29.0,55,47,52,40,40,41
Nidorina,30.0,70,62,67,55,55,56
Nidoqueen,31.0,90,92,87,75,85,76
Nidoran(Male),32.0,46,57,40,40,40,50
Nidorino,33.0,61,72,57,55,55,65
Nidoking,34.0,81,102,77,85,75,85
Clefairy,35.0,70,45,48,60,65,35
Clefable,36.0,95,70,73,95,90,60
Vulpix,37.0,38,41,40,50,65,65
Vulpix(Alolan),37.1,38,41,40,50,65,65
Ninetales,38.0,73,76,75,81,100,100
Ninetales(Alolan),38.1,73,67,75,81,100,109
Jigglypuff,39.0,115,45,20,45,25,20
Wigglytuff,40.0,140,70,45,85,50,45
Zubat,41.0,40,45,35,30,40,55
Golbat,42.0,75,80,70,65,75,90
Oddish,43.0,45,50,55,75,65,30
Gloom,44.0,60,65,70,85,75,40
Vileplume,45.0,75,80,85,110,90,50
Paras,46.0,35,70,55,45,55,25
Parasect,47.0,60,95,80,60,80,30
Venonat,48.0,60,55,50,40,55,45
